price,address,status
"$239,900","884 Torino Dr, Ballwin, MO 63021",Coming soon
"$515,000","983 Hanna Bend Ct, Manchester, MO 63021",House for sale
"$515,000","418 Morning Oaks Ct, Ballwin, MO 63021",House for sale
"$695,000","276 Ries Rd, Ballwin, MO 63021",House for sale
"$279,900","9 Chappel Ct, Manchester, MO 63021",House for sale
"$399,900","427 Terrington Dr, Ballwin, MO 63021",House for sale
"$369,900","434 Paula Vale Ct, Ballwin, MO 63021",House for sale
"$215,000","225 Newton Pl, Ballwin, MO 63021",House for sale
"$115,000","276 Carmel Woods Dr, Ballwin, MO 63021",Condo for sale
